"";"X";"codigo_ibge";"idade_media";"idade_media_diabetes"
"433";433;3539400;63,4285714285714;57,8235294117647
"434";434;3539509;68,2978723404255;64,8135593220339
"435";435;3539608;67,6666666666667;66
"436";436;3539707;72,8333333333333;68,6666666666667
"437";437;3539806;69,645390070922;66,6347826086957
"438";438;3539905;61,4285714285714;66,9
"439";439;3540002;67,7586206896552;66,3
"440";440;3540101;70,6666666666667;60,75
"441";441;3540200;67,3432835820896;65,5555555555556
"442";442;3540259;71;68,3333333333333
"443";443;3540309;69,75;71,5
"444";444;3540408;60,5714285714286;51,3333333333333
"445";445;3540507;68,25;70,8
"446";446;3540606;67,3;67,12
"447";447;3540705;70,1774193548387;63,3382352941176
"448";448;3540754;59,3333333333333;62,8
"449";449;3540804;70,8867924528302;67,6774193548387
"450";450;3540903;70,5;70,7142857142857
"451";451;3541000;66,6206896551724;66,084388185654
"452";452;3541059;60;58,5
"453";453;3541109;80;77
"454";454;3541208;71,3809523809524;72,3636363636364
"455";455;3541307;70,1219512195122;68,6976744186046
"456";456;3541406;68,3984575835476;67,9219858156028
"457";457;3541505;67,5294117647059;67,6410256410256
"458";458;3541604;69,38;69,9545454545455
"459";459;3541653;38;NA
"460";460;3541703;66,25;73
"461";461;3541802;94;68
"462";462;3541901;66,8;66,125
"463";463;3542008;61,3571428571429;60,3333333333333
"464";464;3542107;67,25;68,5
"465";465;3542206;70,5;70,0909090909091
"466";466;3542305;69;56
"467";467;3542404;68,6153846153846;65,2380952380952
"468";468;3542503;59;74,6
"469";469;3542602;69,5825242718447;69,5714285714286
"470";470;3542701;67,7142857142857;71,1666666666667
"471";471;3542800;73;67
"472";472;3542909;74,2941176470588;69
"473";473;3543006;66,4324324324324;64,3846153846154
"474";474;3543105;71,6666666666667;71,5
"475";475;3543204;67,0769230769231;70,1666666666667
"476";476;3543238;63,4;60,6666666666667
"477";477;3543253;71,5;62,7142857142857
"478";478;3543303;70,281045751634;68,1075268817204
"479";479;3543402;71,5746326372776;69,1531365313653
"480";480;3543501;66,75;63,2222222222222
"481";481;3543600;73,5;62
"482";482;3543709;69,5;71,3333333333333
"483";483;3543808;77,5;57,4285714285714
"484";484;3543907;68,52;65,8633879781421
"485";485;3544004;69,5714285714286;66,6923076923077
"486";486;3544103;65;65,9
"487";487;3544202;67,84;67,3333333333333
"488";488;3544251;62,5;59,9285714285714
"489";489;3544301;66,625;74,6
"490";490;3544400;65;65
"491";491;3544509;77,8571428571429;70
"492";492;3544608;74,4;63,6
"493";493;3544707;72;64
"494";494;3544806;66;63,4545454545455
"495";495;3544905;60,3;64,125
"496";496;3545001;68;64,9166666666667
"497";497;3545100;69,6666666666667;67,75
"498";498;3545159;63;69,1666666666667
"499";499;3545209;68,494623655914;65,9222222222222
"500";500;3545308;68,1228070175439;65,4406779661017
"501";501;3545407;69;63,5
"502";502;3545506;72,6;71,3333333333333
"503";503;3545605;74,0285714285714;69,3636363636364
"504";504;3545704;72,9166666666667;69,8181818181818
"505";505;3545803;68,6647727272727;67,5518518518519
"506";506;3546009;59;67,3636363636364
"507";507;3546108;68,3333333333333;77
"508";508;3546207;58;63,6666666666667
"509";509;3546256;91;NA
"510";510;3546306;66,7575757575758;63,1777777777778
"511";511;3546405;67,6136363636364;67,3939393939394
"512";512;3546504;64,1666666666667;55,5
"513";513;3546603;66,622641509434;63,6086956521739
"514";514;3546702;65,8823529411765;69,2142857142857
"515";515;3546801;68,5866666666667;68,9772727272727
"516";516;3546900;65,9230769230769;57,8888888888889
"517";517;3547007;71,5;69
"518";518;3547106;59,25;71,6666666666667
"519";519;3547304;70,5310344827586;65,8207547169811
"520";520;3547403;58,25;63
"521";521;3547502;71,0833333333333;64,5833333333333
"522";522;3547601;70,695652173913;69,9473684210526
"523";523;3547650;75,3333333333333;61
"524";524;3547700;67,9285714285714;70,625
"525";525;3547809;71,7357980162308;69,4603365384615
"526";526;3547908;67,1538461538462;71,25
"527";527;3548005;65,5862068965517;68,25
"528";528;3548054;69,6666666666667;66,1818181818182
"529";529;3548104;67,6666666666667;61,8571428571429
"530";530;3548203;57,75;66,6666666666667
"531";531;3548302;75;81
"532";532;3548401;70,0909090909091;67,1
"533";533;3548500;73,5402298850575;72,4004683840749
"534";534;3548609;67,8333333333333;67,625
"535";535;3548708;69,7402088772846;69,4425711275026
"536";536;3548807;76,1002865329513;73,1676646706587
"537";537;3548906;71,0992647058823;67,7670454545455
"538";538;3549003;75,625;67,3333333333333
"539";539;3549102;68,3145161290323;67,2592592592593
"540";540;3549201;55;63
"541";541;3549250;62,5;71
"542";542;3549409;64,6976744186046;64,14
"543";543;3549508;60,6666666666667;69,25
"544";544;3549607;92;59
"545";545;3549706;69,0161290322581;69,3269230769231
"546";546;3549805;68,7306034482759;67,2983271375465
"547";547;3549904;69,4455958549223;68,3189102564103
"548";548;3549953;73,2;65,1666666666667
"549";549;3550001;68,3;67,7142857142857
"550";550;3550100;63,5614035087719;63,7307692307692
"551";551;3550209;68,6153846153846;68,6071428571429
"552";552;3550308;71,4241168548638;69,7003112840467
"553";553;3550407;71,7105263157895;69,5609756097561
"554";554;3550506;85;NA
"555";555;3550605;66,9166666666667;66,5555555555556
"556";556;3550704;71,1228070175439;67,9272727272727
"557";557;3550803;73;57,375
"558";558;3550902;71,4;67,6875
"559";559;3551009;68,8848039215686;69,3333333333333
"560";560;3551108;54,6666666666667;76
"561";561;3551207;81,5;53,75
"562";562;3551306;68,25;70
"563";563;3551405;76,6666666666667;70
"564";564;3551504;69,9661016949153;68,0857142857143
"565";565;3551603;69,2857142857143;69,5333333333333
"566";566;3551702;67,5963302752294;65,9655172413793
"567";567;3551801;69,1666666666667;69
"568";568;3551900;68,7826086956522;67,32
"569";569;3552007;62;71
"570";570;3552106;68,7428571428571;69,5714285714286
"571";571;3552205;66,8295788442703;66,0269320843091
"572";572;3552304;63;63,3333333333333
"573";573;3552403;66,6612466124661;65,4807692307692
"574";574;3552502;67,3863636363636;66,5234899328859
"575";575;3552551;69,625;70,6666666666667
"576";576;3552601;71,8787878787879;71,6
"577";577;3552700;67,7931034482759;64,3333333333333
"578";578;3552809;67,4064516129032;67,2877697841727
"579";579;3552908;74,1666666666667;59
"580";580;3553005;71,1666666666667;64,8888888888889
"581";581;3553104;63;63,5
"582";582;3553203;69;69,6666666666667
"583";583;3553302;66,1904761904762;70,0769230769231
"584";584;3553401;68,3827160493827;68,5476190476191
"585";585;3553500;74,3333333333333;75
